Status,Date,Description,Debit,Credit
Cleared,08/10/2024,"TST* CHIANTIS GENEVA IL",41.38,
Cleared,08/10/2024,"SQ *GRAHAM'S FINE CHOC GENEVA IL",7.86,
Cleared,08/09/2024,"SEATGEEK TICKETS NEW YORK NY",144.80,
Cleared,08/07/2024,"AMAZON MKTPL*RM0842CG2 Amzn.com/bill WA null XXXXXXXXXXXX4096",42.44,
Cleared,08/07/2024,"WALGREENS #4179 GENEVA IL",19.62,
Cleared,08/07/2024,"2176 GREAT CLIPS AT 38 GENEVA IL",25.00,
Cleared,08/07/2024,"BUONA ST. CHARLES #17 ST CHARLES IL",26.02,
Cleared,08/06/2024,"SQ *LOLA'S RESTAURANT Pontiac IL",41.83,
Cleared,08/05/2024,"WALGREENS #4179 GENEVA IL",31.68,
Cleared,08/05/2024,"CULVERS OF MORRIS IL MORRIS IL",13.67,
Cleared,08/05/2024,"EVA AIR 06952458093057 ROSEMONT IL",1677.50,
Cleared,08/04/2024,"TST* ACQUAVIVA RISTORA BATAVIA IL",74.76,
Cleared,08/04/2024,"AWAKENING EVENTS 8005143849 NC",74.76,
Cleared,08/04/2024,"JOLLIBEE BLOOMINGDALE IL",23.52,
Cleared,08/02/2024,"DOLLARTREE SAINT CHARLES IL",77.17,
Cleared,08/02/2024,"FIREWATER BBQ N BREW - 877-8144102 IL",20.02,
Cleared,08/01/2024,"PAYMENT THANK YOU",,-1788.18
Cleared,08/01/2024,"GUZMAN Y GOMEZ NAPERVILLE IL",16.53,
Cleared,07/31/2024,"BUONA ST. CHARLES #17 ST CHARLES IL",26.33,
Cleared,07/28/2024,"SEAFOOD CITY SUPERMA CHICAGO IL",57.08,
Cleared,07/28/2024,"SEAFOOD CITY SUPERMA CHICAGO IL",98.22,
Cleared,07/28/2024,"MAX'S RESTAURANT CHICA CHICAGO IL",56.23,
Cleared,07/27/2024,"TST* MC NALLYS IRISH P SAINT CHARLES IL",39.82,
Cleared,07/26/2024,"SQ *SAINT GENESISUS PR gosq.com IL",22.13,
Cleared,07/24/2024,"SQ *BROWN BUTTER CAFE St Charles IL",29.67,
Cleared,07/24/2024,"GUZMAN Y GOMEZ NAPERVILLE IL",14.63,
Cleared,07/21/2024,"MEIJER # 182 ST CHARLES IL",75.55,
Cleared,07/20/2024,"TST* BEEF SHACK- ST. C ST. CHARLES IL",28.27,
Cleared,07/20/2024,"PTI*STCHARPARKDIST ST. CHARLES IL null XXXXXXXXXXXX2293",42.00,
Cleared,07/18/2024,"GOOGLE *Google One 650-253-0000 CA",1.99,
